hi	hai
the police found drugs in tom s house	polisi menemukan narkoba di rumah tom
the problem is we don t know anything	masalahnya kita tidak tahu apa apa
the rain just stopped so let s leave	hujannya baru saja berhenti jadi ayo kita berangkat
the ship was flying the american flag	kapal itu mengibarkan bendera amerika
the station is the middle of the city	stasiun itu berada di tengah kota
the weather has been good until today	sampai hari ini cuacanya selalu dalam keadaan baik
there are plenty more fish in the sea	bunga bukan sekuntum kumbang bukan seekor
there are still people who can t read	masih ada orang orang yang tidak bisa membaca
there is a waterfall above the bridge	ada air terjun di atas jembatan
there is almost no water in the glass	hampir tidak ada air di dalam gelas
there used to be a train station here	dulu ada stasiun kereta di sini
there was nothing i could do about it	tidak ada yang bisa kuperbuat akan hal itu
there was only one person in the room	hanya ada satu orang di dalam ruangan itu
there s no use crying over spilt milk	nasi sudah menjadi bubur
there s one more thing you need to do	ada satu hal lagi yang perlu kau lakukan
there s still some beer in the fridge	masih ada sedikit bir di kulkas
they are very interested in astronomy	mereka sangat tertarik dengan astronomi
they keep forgetting to pay the bills	mereka selalu lupa membayar tagihan
they left before the end of the movie	mereka beranjak pergi sebelum filmnya berakhir
they stayed at a very expensive hotel	mereka menginap di hotel yang sangat mahal
this house was bought three years ago	rumah ini dibeli tiga tahun yang lalu
this medicine doesn t taste very good	obat ini rasanya tidak terlalu enak
this novel is difficult to understand	novel ini susah dimengerti
thomas edison invented the light bulb	thomas edison menciptakan bola lampu
today you can eat as much as you want	hari ini anda bisa makan sebanyak yang anda inginkan
tom admitted he s stolen mary s money	tom mengaku bahwa dia telah mencuri uang milik mary
tom always tries to help other people	tom selalu mencoba membantu orang lain
tom and mary are sitting on the couch	tom dan mary sedang duduk di sofa
tom asked me to tell you he d be late	tom meminta tolong kepada saya untuk memberitahukan kamu dia akan terlambat
tom didn t even ask for my permission	tom bahkan tidak meminta izinku
tom didn t realize what was happening	tom tidak menyadari apa yang sedang terjadi tadi
tom didn t tell mary where john lived	tom tidak memberitahu mary di mana john tinggal
tom doesn t have to apologize to mary	tom tidak harus meminta maaf kepada mary
tom doesn t know much about indonesia	tom tidak tahu banyak tentang indonesia
tom doesn t know much about indonesia	tom tidak mengetahui banyak hal tentang indonesia
tom doesn t want mary to go to boston	tom tidak ingin mary pergi ke boston
tom drinks black coffee without sugar	tom minum kopi hitam tanpa gula
tom hardly ever speaks french anymore	tom sudah jarang berbicara dalam bahasa prancis
tom has never seen the atlantic ocean	tom belum pernah melihat samudra atlantik
tom has no intention of marrying mary	tom tidak memiliki keinginan untuk menikahi mary
tom is a professional baseball player	tom adalah pemain bisbol profesional
tom is always way busier than mary is	tom selalu jauh lebih sibuk daripada mary
tom lives in the apartment above mary	tom tinggal di apartemen diatas tempat mary
tom looks as though he s seen a ghost	tom nampak seperti telah melihat hantu
tom made no attempt to defend himself	tom tidak berusaha melindungi dirinya sendiri
tom made the right decision after all	pada akhirnya tom membuat keputusan yang tepat
tom must ve found out that i was here	tom pasti tahu jika aku pernah di sini
tom needs to lose three or four kilos	tom perlu menurunkan berat badan tiga atau empat kilo
tom photocopied his birth certificate	tom memfotokopi akta kelahirannya
tom poked his pencil through the hole	tom mencucukkan pensilnya kedalam lubang
tom realized mary was waiting for him	tom menyadari mary menunggu dirinya
tom really likes swimming doesn t he	bukankah tom sungguh menyukai berenang
tom said he d never speak to me again	tom berkata dia tidak akan pernah berbicara denganku lagi
tom said that he regretted doing that	tom berkata bahwa dia menyesal melakukan itu
tom saw a boy waiting at the bus stop	tom melihat seorang anak laki laki menunggu di halte
tom took aim and fired a warning shot	tom membidik dan menembakkan tembakan peringatan
tom tried to push mary into the water	tom mencoba mendorong mary kedalam air
tom understands what needs to be done	tom paham apa yang harus dituntaskan
tom was unable to hide his excitement	tom tidak mampu menyembunyikan antusiasmenya
tom wasn t injured in the train wreck	tom tidak terluka dalam kecelakaan kereta itu
tom went to meet some girl named mary	tom pergi menemui perempuan bernama mary
tom s salary is much higher than mine	gaji tom jauh lebih tinggi daripada gajiku
tom mary and john are in the kitchen	tom mary dan john sedang berada di dapur
we don t even know how to contact tom	kita bahkan tidak tahu cara menghubungi tom
we don t want to lose our credibility	kami tidak ingin kehilangan kredibilitas kami
we have had a lot of rain this summer	kita dapat banyak hujan musim panas ini
we have no reason to change our plans	kami tidak punya alasan untuk mengganti rencana kami
we mustn t waste our energy resources	kita tidak boleh membuang buang percuma sumber energi kita
what do you want to know about boston	apa yang ingin anda ketahui tentang boston
what you re saying doesn t make sense	yang kamu katakan itu tidak masuk akal
what s your favorite item of clothing	pakaian apa yang paling kamu sukai
when was the last time you ate shrimp	kapan terakhir kali kamu makan udang
when will your new novel be published	kapan novel barumu akan diterbitkan
where did tom get all that money from	tom mendapatkan uang itu semua dari mana
who in the world do you think you are	kamu pikir kamu ini siapa
who is the oldest person in the world	siapakah orang tertua di dunia
who s the richest person in australia	siapa orang terkaya di australia
who s the richest person in australia	siapa orang yang paling kaya di australia
who s your favorite character on glee	siapa karakter favoritmu di glee
you always try to blame somebody else	kamu selalu mencoba menyalahkan orang lain
you don t really believe that do you	kau tidak benar benar mempercayainya kan
you haven t given me what i asked for	kamu belum memberiku yang kuminta
you know that s impossible don t you	kamu tahu itu tidak mungkin kan
you should be ashamed of your conduct	kamu seharusnya malu dengan tingkah laku kamu itu
you should follow the doctor s advice	kau harus mengikuti petunjuk dokter
you should ve paid your bills on time	kau seharusnya membayar tagihanmu tepat waktu
i want that book he said to himself	aku ingin buku itu katanya pada dirinya sendiri
is she reading a book yes she is	apakah dia sedang membaca buku ya dia sedang membaca buku
all you have to do is press the button	yang harus kau lakukan adalah menekan tombolnya
an eye for an eye a tooth for a tooth	mata ganti mata gigi ganti gigi
are you spending thanksgiving with tom	apa kamu menghabiskan waktu bersama tom di hari thanksgiving
astronomy is by no means a new science	astronomi sama sekali bukanlah ilmu yang baru
believe it or not tom is years old	percaya atau tidak tom sudah berusia tahun
could i speak to you for a moment tom	dapatkah saya berbicara denganmu sebentar tom
democracy originated in ancient greece	demokrasi berasal dari yunani kuno
did tom say anything to you about that	apakah tom mengatakan sesuatu kepadamu tentang hal itu
do you believe the witness s statement	kamu percaya pernyataan saksi itu
do you remember tom s telephone number	apakah kamu ingat nomor telepon tom
do you remember the night tom was born	apa kau ingat malam ketika tom lahir
do you think tom looks like an old man	apa menurutmu tom terlihat seperti orang tua
do you want to go to the opera with me	maukah kamu pergi ke opera bersamaku
don t confuse astrology with astronomy	jangan mencampuradukkan astrologi dengan astronomi
don t forget to meet me at the station	jangan lupa untuk bertemu saya di stasiun
don t you know what happened yesterday	tidakkah kau tahu apa yang terjadi kemarin
don t you want to know who that man is	tidakkah kalian ingin tahu siapa pria itu
drivers must observe the traffic rules	para pengendara harus mematuhi peraturan lalu lintas
each box contains about thirty oranges	setiap kotak berisi sekitar tiga puluh jeruk
everybody knows that where i come from	semua orang tahu darimana asalku
have you ever heard anything like that	pernahkah kau mendengar yang seperti itu
he attributes his success to good luck	dia menganggap kalau dirinya berhasil karena beruntung
he made me wait for about half an hour	dia membuatku menunggu selama hampir setengah jam
he never returned from that expedition	dia tidak pernah kembali dari ekspedisi itu
he sat surrounded by his grandchildren	dia duduk sambil dikelilingi cucu cucunya
he turned out to be nothing but a liar	dia tidak lain dan tidak bukan adalah seorang pembohong
he was hit by a car and died instantly	dia tertabrak mobil dan tewas di tempat
he worked hard to make his child happy	dia bekerja keras untuk membahagiakan anaknya
he s not my boyfriend he s my brother	dia bukan pacarku dia adikku
he s not my boyfriend he s my brother	dia bukan pacarku dia kakakku
his new novel will come out next month	novel barunya akan terbit bulan depan
how long have you been studying french	sudah berapa lama kamu belajar bahasa prancis
how many classes do you have on monday	di hari senin jam pelajaranmu ada berapa banyak
how many countries are there in europe	ada berapa negara di eropa
how many idioms have we studied so far	berapa banyak idiom yang sudah kita pelajari sejauh ini
how many rooms are there in your house	ada berapa banyak kamar di rumahmu
how many times have you been to boston	sudah berapa kali kamu ke boston
i also lived in boston for three years	saya juga tinggal di boston selama tiga tahun
i bought presents for my grandchildren	saya membeli hadiah untuk cucu cucu saya
i bought this umbrella three weeks ago	aku membeli payung ini tiga minggu yang lalu
i can t tell you what we did yesterday	aku tidak bisa memberitahumu apa yang kami lakukan kemarin
i didn t know that you were so unhappy	aku tidak tahu bahwa kamu setidak bahagia itu
i don t have enough money to buy a car	aku tidak punya cukup uang untuk membeli mobil
i don t have enough money to buy a car	saya tidak punya cukup uang untuk membeli mobil
i don t know anything about tom s past	aku tidak tahu apa apa tentang masa lalu tom
i don t know either tom or his brother	aku tidak tahu apakah tom atau saudara laki lakinya
i don t know how to put it in japanese	aku tidak tahu bagaimana cara mengatakannya dalam bahasa jepang
i don t know whether it is true or not	aku tidak tahu apakah itu benar atau tidak
i don t like pepperoni pizza that much	saya tidak seberapa suka pizza pepperoni
i don t want to be disturbed until ten	saya tidak ingin diganggu hingga jam sepuluh
i don t want to think about that again	aku tidak mau memikirkan itu lagi
i expand my knowledge by reading books	aku memperluas wawasanku dengan membaca buku
i haven t been swimming in a long time	aku sudah tidak berenang dalam waktu yang lama
i haven t done that since i was twelve	aku belum pernah melakukannya sejak aku berusia dua belas tahun
i haven t spoken to tom in a long time	sudah lama saya tidak berbicara dengan tom
i haven t talked to tom in a long time	sudah lama saya tidak berbicara dengan tom
i hope we ll see each other again soon	kuharap kita akan segera bertemu lagi
i hope you two are very happy together	aku harap kalian berdua bahagia
i interpreted their silence as consent	saya menganggap diamnya mereka sebagai tanda setuju
i like swimming and playing basketball	saya gemar berenang dan bermain bola basket
i like white wine better than red wine	aku lebih suka anggur putih daripada anggur merah
i like white wine better than red wine	saya lebih suka anggur putih daripada anggur merah
i met an old student of mine in london	di london saya bertemu dengan anak didik saya yang dulu
i need more time to finish my homework	aku butuh lebih banyak waktu untuk menyelesaikan pr
i still haven t learned to drive a car	aku masih belum belajar mengendarai mobil
i suppose we should tell tom the truth	aku pikir kita harus memberitahu tom yang sebenarnya
i think i can come over this afternoon	saya pikir saya bisa datang siang ini
i think it would be good for all of us	aku pikir itu baik untuk kita semua
i told my wife to get ready in a hurry	aku memberitahu istriku untuk cepat bersiap siap
i want you to reconsider your decision	saya ingin anda mempertimbangkan kembali keputusan anda
i was thinking about tom earlier today	aku memikirkan tentang tom beberapa saat yang lalu
i will take both this one and that one	aku akan mengambil baik yang ini dan yang itu
i wish tom hadn t told mary about that	aku harap tom belum memberitahukan hal itu kepada mary
i ll arrive in boston tomorrow evening	aku akan sampai di boston besok sore
i ll buy you whatever clothes you want	saya akan membelikan pakaian apa saja yang kamu mau
i ll show you the car i ve just bought	akan ku tunjukkan padamu mobil yang baru aku beli
i m not convinced that tom can do that	saya tidak yakin tom bisa melakukannya
i m sure i ll find a good gift for tom	aku yakin akan menemukan hadiah yang bagus untuk tom
if you want to be happy then be happy	kalau kamu ingin bahagia maka berbahagialah
is hitchhiking prohibited in australia	apakah mencari tumpangan dilarang di australia
is there much food in the refrigerator	apakah ada banyak makanan di dalam kulkas
it was all i could do to keep standing	hanya ini yang dapat aku lakukan untuk bertahan
it won t be long before tom comes back	tidak akan lama lagi tom kembali
late autumn in scotland is rather cold	suhu di skotlandia cukup dingin pada akhir musim gugur
let s leave the problem until tomorrow	mari kita tunda masalah itu hingga besok
look tom we don t have time for this	sudahlah tom kita tidak punya waktu untuk hal ini
mary decided never to see him any more	mary memutuskan untuk tidak akan menemuinya lagi
maybe tom doesn t want us to find mary	mungkin tom tidak ingin kita menemukan mary
maybe what you said about tom is right	mungkin kata katamu tentang tom ada benarnya
my cassette tape recorder needs fixing	perekam pita kasetku perlu diperbaiki
my children don t have their own rooms	anak anakku tidak memiliki kamarnya sendiri
my children don t have their own rooms	anak anakku tidak punya kamar sendiri
my father didn t allow me to marry him	ayahku tidak membolehkanku menikahinya
my mom doesn t speak english very well	ibuku tidak bisa bahasa inggris dengan baik
my younger brother is taller than i am	adik laki lakiku lebih tinggi dariku
nobody knows why he turns down my help	tidak ada yang tahu mengapa dia menolak pertolonganku
now it s time for the weather forecast	sekarang waktunya ramalan cuaca
please remain seated for a few minutes	tolong duduk sebentar
please remind me to phone him tomorrow	tolong ingatkan aku untuk meneleponnya besok
pour the boiling water over the teabag	tuangkan air mendidih pada kantung teh
she assured him that everything was ok	dia meyakinkannya bahwa semua baik baik saja
she participated in the beauty contest	dia mengikuti kontes kecantikan
she went to the station to see him off	dia pergi ke stasiun untuk mengiringi keberangkatannya
sorry sir but this coupon is expired	maaf pak kupon ini sudah kedaluwarsa
tell me something i don t already know	beri tahu aku sesuatu yang belum kuketahui
tell me why you didn t do what i asked	katakan padaku kenapa kau tidak melakukan apa yang aku minta
the s began with the gulf incident	tahun an dimulai dengan peristiwa teluk
the french flag is blue white and red	bendera prancis berwarna biru putih dan merah
the golden gate bridge is made of iron	jembatan golden gate terbuat dari besi
the car left a cloud of dust behind it	mobil itu mengeluarkan asap tebal
the children are making a lot of noise	anak anak itu membuat banyak kegaduhan
the deal fell apart at the last minute	kesepakatannya batal di menit terakhir
the dog has a very keen sense of smell	anjing memiliki daya penciuman yang sangat tajam
the garage is at the side of the house	garasinya terletak di sebelah rumah
the heat was so intense that i fainted	suhunya sangat panas hingga aku pun pingsan
the missing cat has not been found yet	kucing yang hilang tersebut masih belum ditemukan
the moon is the earth s only satellite	bulan adalah satu satunya satelit bumi
the one i bought was made in australia	yang aku beli dibuat di australia
the sky is clear and the sun is bright	langitnya cerah dan mataharinya terang
the weather here is very unpredictable	cuaca di sini sangat tidak dapat diprediksi
the wrestler weighs over kilograms	berat pegulat itu lebih dari kilogram
their goods are of the highest quality	kualitas barang barang mereka adalah yang tertinggi
there are still people who cannot read	masih ada orang orang yang tidak bisa membaca
there is a restaurant in this building	ada sebuah restoran di gedung ini
there is no point in giving him advice	tidak ada gunanya memberinya nasihat
there is no point in giving him advice	tidak ada gunanya menasihatinya
there is no use crying over spilt milk	nasi sudah menjadi bubur
there will be a lunar eclipse tomorrow	akan ada gerhana bulan besok
there s a calendar hanging on the wall	di sana terdapat kalender menggantung di dinding
there s a calendar hanging on the wall	ada kalender menggantung di dinding
there s been a lot of rain this summer	musim panas ini banyak turun hujan
there s something i forgot to tell you	ada hal yang lupa kuberitahukan kepadamu
these are the clothes that tom gave me	ini adalah pakaian yang tom berikan kepadaku
these gentlemen are from the consulate	bapak bapak ini dari konsulat
these shirts are selling like hotcakes	baju baju ini laku keras
they suggested to him that he go alone	mereka menyarankannya untuk pergi sendirian
this is a good place to pitch our tent	ini adalah tempat yang bagus untuk kami mendirikan tenda
this is the book that i told you about	ini buku yang aku ceritakan padamu
this is the reason i disagree with you	ini adalah alasan kenapa saya kurang setuju dengan anda
this lake is the deepest lake in japan	danau ini adalah danau terdalam di jepang
this plant doesn t need a lot of light	tumbuhan ini tidak memerlukan banyak cahaya
this room is used for various purposes	ruangan ini serba guna
this year the circus has ten elephants	tahun ini sirkus memiliki sepuluh gajah
those who are present are all japanese	semua yang telah hadir adalah orang jepang
tom jackson is the author of this book	tom jackson adalah penulis buku ini
tom admitted that he had been defeated	tom tadi mengakui kekalahannya
tom always eats dinner with his family	tom selalu makan malam bersama keluarganya
tom always wears goggles when he swims	tom selalu mengenakan kacamata ketika dia berenang
tom currently teaches english in japan	tom sekarang mengajar bahasa inggris di jepang
tom decided to run for class president	tom memutuskan untuk mencalonkan diri sebagai ketua kelas
tom didn t know that mary was canadian	tom tidak tahu bahwa mary orang kanada
tom didn t notice how mary was dressed	tom tidak tahu bagaimana mary berpakaian
tom didn t understand mary s reasoning	tom tidak memahami pertimbangan mary
tom doesn t seem to like playing chess	tom sepertinya tidak suka bermain catur
tom has a small cabin on the lakefront	tom memiliki sebuah pondok kecil di depan danau
tom hasn t yet returned from australia	tom belum kembali dari australia
tom is preparing dinner in the kitchen	tom mempersiapkan makan malam di dapur
tom is sitting at the table over there	tom duduk di meja sebelah sana
tom is still in kindergarten isn t he	tom masih tk kan
tom is three years older than his wife	tom lebih tua tiga tahun dari istrinya
tom is writing a book about his father	tom sedang menulis sebuah buku tentang ayahnya
tom isn t any busier than anybody else	tom tidak lebih sibuk dari siapa pun
tom knew that mary needed to buy a car	tom tahu kalau mary perlu membeli mobil
tom knocked on the door to mary s room	tom mengetuk pintu kamar mary
tom knows that mary can t speak french	tom tahu bahwa mary tidak bisa berbicara bahasa prancis
tom likes to listen to classical music	tom suka mendengarkan musik klasik
tom loves listening to classical music	tom suka mendengarkan musik klasik
tom probably won t be doing that today	tom mungkin tidak akan melakukan itu hari ini
tom put on the mask that mary gave him	tom memakai masker yang mary berikan kepadanya
tom said he d pay for the entire thing	tom bilang dia akan membayar semuanya
tom said that he had to work on monday	tom berkata bahwa dia harus bekerja pada hari senin
tom said that he needed to lose weight	tom berkata bahwa dia harus menurunkan berat badan
tom scanned the qr code with his phone	tom memindai kode qr itu dengan ponselnya
tom shivered when he saw the black cat	tom merinding ketika ia melihat kucing hitam itu
tom showed mary how to sharpen a knife	tom menunjukkan mary bagaimana cara mengasah pisau
tom showed up early for practice today	tom datang lebih awal untuk berlatih hari ini
tom suggested ways we could save money	tom menyarankan cara cara agar kita dapat menghemat uang
tom told mary that it was wrong to lie	tom memberitahu mary kalau berbohong itu salah
tom told me he likes going to concerts	tom bilang ke aku kalau dia suka pergi nonton konser
tom tossed the soda can into the trash	tom melempar kaleng sodanya ke dalam tong sampah
tom tried to persuade mary to help him	tom mencoba membujuk mary untuk membantunya
tom waited on the front porch for mary	tom menunggu mary di beranda depan
tom wanted another piece of watermelon	tom mau sepotong semangka lagi
tom was sitting alone in the cafeteria	tom duduk sendirian di kantin
tom will leave for australia next week	tom akan pergi ke australia minggu depan
tom s handwriting is very hard to read	tulisan tangan tom sangat sulit dibaca
water freezes at degrees fahrenheit	air membeku pada suhu derajat fahrenheit
we don t really have to sell our house	kita tidak sampai harus menjual rumah kita
we used to go camping when i was a kid	dulu kami suka berkemah ketika aku masih kecil
we used to ride horses with no saddles	kami dulu mengendarai kuda tanpa pelana
what prevented you from coming earlier	apa yang menghalangimu untuk datang lebih awal
where did all these t shirts come from	dari mana datangnya semua kaus ini
where did you buy this pineapple juice	di manakah kamu membeli jus nanas ini
where else in boston do you want to go	di boston kamu ingin pergi ke mana lagi
you can t leave me here alone with tom	kau tidak bisa meninggalkanku di sini sendirian dengan tom
you don t have to answer this question	kamu tidak perlu menjawab pertanyaan ini
you don t have to answer this question	anda tidak perlu menjawab pertanyaan ini
you don t need to answer that question	kamu tidak perlu menjawab pertanyaan itu
you don t need to answer this question	anda tidak perlu menjawab pertanyaan ini
you may choose whichever book you like	kamu boleh pilih buku mana saja yang kamu suka
you may choose whichever book you like	kau boleh memilih buku manapun yang kau suka
you need to know how important this is	anda perlu tahu betapa pentingnya hal ini
you seemed surprised when tom did that	kamu terlihat terkejut ketika tom melakukan itu
you still don t have enough experience	kau masih belum punya cukup pengalaman
you re wearing your sweater inside out	kamu memakai sweter terbalik
your reaction wasn t surprising at all	reaksimu sama sekali tidak mengejutkan
where s the book it s on the table	di mana bukunya di atas meja
all tom wanted was some peace and quiet	yang tom inginkan adalah kedamaian dan ketenangan
all of her books are written in italian	semua bukunya ditulis dalam bahasa italia
all parents want their kids to be happy	semua orang tua ingin anak anaknya bahagia
are you interested in foreign languages	apakah kalian tertarik dengan bahasa asing
australia is smaller than south america	australia lebih kecil daripada amerika selatan
bauxite is the main source of aluminium	bauksit adalah sumber utama aluminium
but what will you do if he doesn t come	tapi apa yang akan kamu lakukan jika dia tidak datang
call for a free brochure	hubungi untuk gratis brosur
can i borrow this for about three weeks	boleh saya pinjam sekitar tiga minggu
can any of you suggest another solution	bisakah kamu memberikan solusi lain
cats can see things even when it s dark	kucing bisa melihat sesuatu meski saat gelap
could you please not smoke in this room	bisa tolong untuk tidak merokok tidak ruangan ini
do you always come to school this early	apa kamu selalu datang ke sekolah sepagi ini
do you believe everything tom tells you	apakah kamu percaya apa pun yang tom katakan padamu
don t leave the bicycle out in the rain	jangan tinggalkan sepeda di bawah hujan
english has spread all over the country	bahasa inggris telah menyebar ke seluruh negeri
from across the room you look like tom	jika dilihat dari luar kamu mirip seperti tom
have you ever been to a foreign country	pernahkah kau pergi ke luar negeri
have you ever visited a foreign country	kamu pernah ke negara lain
he can count up to ten with his fingers	dia bisa menghitung sampai sepuluh dengan jarinya
he can t be hungry he s just had lunch	tidak mungkin dia lapar dia baru saja makan siang
he did not intend to hurt your feelings	dia tidak bermaksud menyakiti perasaanmu
he fell in love with her at first sight	dia jatuh cinta padanya pada pandangan pertama
he had the courage to decline the offer	dia punya nyali untuk menolak tawaran itu
he had the nerve to ask me to marry him	dia tanpa tahu malu memintaku menikah dengannya
he is still not accustomed to city life	dia masih belum terbiasa dengan kehidupan kota
he is still not back from the mountains	dia belum kembali dari gunung
how long have you and tom been together	sudah berapa lama kamu dan tom bersama
how long have you been wearing contacts	sudah berapa lama kamu pakai lensa
how many schools are there in your city	ada berapa sekolah di kotamu
i am not sure how to pronounce the word	saya tidak yakin bagaimana cara mengucapkan kata itu
i can come home early if you want me to	aku bisa pulang lebih awal jika kamu mau
i can t concentrate with all this noise	aku tidak bisa berkonsentrasi dengan semua kebisingan ini
i cut the paper with a pair of scissors	aku memotong kertas itu dengan gunting
i didn t know you were such a good cook	saya tidak tahu kalau kamu pandai memasak
i don t have as much money as you think	aku tidak punya banyak uang seperti yang kau kira
i don t know if i ll have time for that	aku tidak tahu apakah aku akan punya waktu untuk itu
i don t know whether to cry or to laugh	aku tak tahu apakah mesti menangis atau tertawa
i don t really understand your question	aku tidak begitu memahami pertanyaanmu
i don t think anyone here speaks french	aku rasa tidak ada orang di sini yang bisa berbahasa prancis
i don t want tom singing at our wedding	aku tidak mau tom bernyanyi di pernikahan kita
i don t want to have to worry about you	aku tidak ingin harus mencemaskanmu
i fell asleep while studying at my desk	aku tertidur ketika belajar di mejaku
i had a small dinner party last weekend	minggu kemarin saya mengadakan pesta makan malam kecil
i keep telling myself it doesn t matter	aku terus berkata kepada diriku bahwa itu tidak masalah
i like taking care of animals very much	saya suka sekali merawat hewan
i like white roses better than red ones	aku lebih suka mawar putih daripada mawar merah
i spent the whole night watching videos	aku menghabiskan semalam penuh menonton video
i think it s time for me to wash my car	aku pikir sekarang waktunya aku mencuci mobilku
i thought i told you to clean your room	aku pikir aku telah menyuruhmu untuk membersihkan kamarmu
i thought that tom was going to kill me	aku pikir tadi tom ingin membunuhku
i thought you might be too busy to help	aku pikir kau mungkin terlalu sibuk untuk bisa membantuku
i thought you might know where tom went	kupikir kamu tahu kemana tom pergi
i told tom i thought it was a good idea	aku berkata pada tom bahwa aku pikir itu adalah ide yang bagus
i want to buy myself a garbage disposal	aku ingin membeli sebuah tempat pembuangan sampah
i wanted mary to love me instead of tom	aku ingin mary mencintaiku dan bukan tom
i d like to thank tom for all he s done	aku ingin berterima kasih kepada tom atas apa yang ia lakukan
i ll give you an answer in a day or two	aku akan jawab dalam satu atau dua hari
i ll never forget him as long as i live	aku tidak akan pernah melupakannya sepanjang hidupku
i ll talk with you about this later ok	aku akan membicarakan ini denganmu nanti ok
i ll wait for you in the hotel tomorrow	aku akan menunggumu di hotel besok
i m japanese but i don t live in japan	saya orang jepang tetapi tidak tinggal di jepang
i m going to do what i believe is right	aku akan melakukan apa yang aku yakini itu benar
i m not as big a fool as you think i am	aku tidak sebodoh yang kamu kira
i m thinking about changing my supplier	aku berpikir untuk mengganti pemasokku
i m very pleased with tom s performance	saya sangat puas dengan penampilan tom
in japan it s three in the morning now	di jepang sekarang pukul tiga pagi
is there a washing machine in her house	apa ada mesin cuci di dalam rumahnya
it was my brother that made the mistake	kakak sayalah yang membuat kesalahan itu
it wasn t my intention to humiliate you	saya tidak bermaksud mempermalukan anda
koalas sleep for to hours per day	koala tidur selama hingga jam per hari
koalas sleep for to hours per day	koala tidur sampai jam dalam sehari
mary doesn t like men who look like tom	mary tidak menyukai pria yang terlihat seperti tom
maybe they ll come and maybe they won t	mungkin mereka akan datang mungkin juga tidak
my french teacher is the same age as me	guru bahasa prancisku usianya sama denganku
my friend s father is a famous novelist	ayah temanku adalah seorang novelis terkenal
my mother is now in the kitchen cooking	ibuku sekarang sedang memasak di dapur
my parents always speak to me in french	orang tuaku selalu berbicara kepadaku dalam bahasa prancis
my shoelace got caught in the escalator	tali sepatuku tersangkut di eskalator
on the table i saw a half eaten banana	di atas meja aku melihat pisang yang sudah setengah dimakan
our new store is due to open in october	toko baru kami akan dibuka pada bulan oktober
our school festival was held last month	festival sekolah kami diadakan bulan lalu
praising children is an important thing	memuji anak adalah hal yang penting
remind me that the meeting is on monday	ingatkan aku kalau rapatnya diadakan hari senin
she came here all the way from hokkaido	dia jauh jauh datang ke sini dari hokkaido
she goes to the library every other day	dia pergi ke perpustakaan dua hari sekali
she used to go to the movies on sundays	dulu dia pergi ke bioskop pada hari minggu
she wanted to live a more relaxing life	dia ingin menjalani hidup dengan lebih santai
sometimes he acts as if he were my boss	terkadang dia bertingkah seolah olah dia adalah bosku
stand up and introduce yourself please	tolong berdiri dan perkenalkan dirimu
staying at home is not a pleasant thing	berada di rumah bukan hal yang menyenangkan
strange things happened on her birthday	hal yang aneh telah terjadi di hari ulang tahunnya
tell her that i am looking for the keys	bilang ke dia saya sedang mencari kunci
that s what i want to talk to you about	itulah yang ingin aku bicarakan denganmu
the french flag is blue white and red	bendera prancis berwarna biru putih dan merah
the cab driver wasn t seriously injured	sopir taksi itu tidak terluka parah
the company rewarded him with promotion	perusahaan menghadiahkan kenaikan jabatan padanya
the last time that happened was in	terakhir kali itu terjadi tahun
the mayor s daughter has been kidnapped	anak perempuan wali kota telah diculik
the point of the pencil has become dull	ujung pensilnya sudah tumpul
the police found tom alive and unharmed	polisi menemukan tom dalam keadaan hidup dan tidak terluka
the station is to the west of the hotel	stasiunnya berada di sebelah barat hotel
the swimming pool is open to the public	kolam renangnya terbuka untuk umum
the volcano has erupted twice this year	gunung berapi itu telah meletus dua kali tahun ini
there are a lot of children in the park	ada banyak anak anak di taman
there are hardly any books in this room	hampir tidak ada buku di ruangan ini
there are large houses along the street	ada banyak rumah besar di sepanjang jalan itu
there is a bank in front of the station	ada bank di depan stasiun itu
there was nothing really wrong with tom	sama sekali tidak ada yang salah dengan tom
they checked whether the room was empty	mereka memeriksa apakah ruangan itu kosong
this box is empty it has nothing in it	kotak ini kosong tidak ada apapun di dalamnya
this building is going to be demolished	bangunan ini akan dihancurkan
this building is going to be demolished	gedung ini akan dihancurkan
this building is going to be demolished	gedung ini akan dibongkar
this building is going to be demolished	bangunan ini akan dibongkar
this building is going to be demolished	bangunan ini akan dirobohkan
this building is going to be demolished	bangunan ini akan diruntuhkan
this building is going to be demolished	gedung ini akan dirobohkan
this building is going to be demolished	gedung ini akan diruntuhkan
this is too big for one person to carry	ini terlalu besar untuk dibawa satu orang
this picture reminds me of my childhood	foto ini mengingatkanku pada masa kecilku
this river flows into the pacific ocean	sungai ini mengalir ke samudra pasifik
this river flows into the pacific ocean	sungai ini bermuara di samudra pasifik
this room can hold three hundred people	ruangan ini bisa menampung tiga ratus orang
this sentence contains several mistakes	kalimat ini memiliki beberapa kesalahan
this soup is really delicious isn t it	sup ini benar benar lezat ya
this train runs between tokyo and osaka	kereta ini berjalan antara tokyo dan osaka
tom and mary played tennis all day long	tom dan mary bermain tenis seharian
tom and mary were talking to each other	tom dan mary saling berbicara
tom asked for permission to leave early	tom meminta izin untuk pulang lebih awal
tom attended mary s graduation ceremony	tom menghadiri upacara kelulusan mary
tom bought three bars of soap yesterday	tom membeli tiga batang sabun kemarin
tom didn t find what he was looking for	tom tidak menemukan apa yang sedang ia cari
tom didn t see any children in the park	tom tidak melihat anak anak di taman itu
